trade_date,ts_code,open,high,low,close,vol,amount,log_return,log_return_seasonal_diff,month,quarter,dayofweek,is_monday,is_before_holiday
2013-10-14,600519.SH,137.95,139.73,137.32,139.65,55274.79,767129.557,0.01536993131659159,0.031082788155778474,10,4,0,1,0
2013-10-15,600519.SH,139.74,144.8,139.08,144.25,69277.51,986261.708,0.032408612997023134,0.08982255760524893,10,4,1,0,0
2013-10-16,600519.SH,146.3,147.7,142.1,144.24,94813.2,1382754.194,-6.932649314705941e-05,-0.004306620968661967,10,4,2,0,0
2013-10-17,600519.SH,144.59,145.8,143.5,144.19,48621.19,703391.97,-0.0003467045765059851,0.0073644156602705735,10,4,3,0,0
2013-10-18,600519.SH,144.49,144.91,142.0,142.98,35574.95,510349.74,-0.008427113979850631,0.020464344760918962,10,4,4,0,0
2013-10-21,600519.SH,143.51,145.3,142.2,145.09,47022.98,677908.678,0.014649479188888037,0.026710222531248995,10,4,0,1,0
2013-10-22,600519.SH,144.8,144.8,142.75,143.42,24581.39,353140.635,-0.01157685107316464,-0.013498649284573894,10,4,1,0,0
2013-10-23,600519.SH,143.26,144.68,142.21,143.69,26215.11,375070.072,0.0018808127866867252,0.011974411914374095,10,4,2,0,0
2013-10-24,600519.SH,143.3,143.97,142.7,143.71,26255.33,376580.495,0.00013917884504,-0.013786972143640774,10,4,3,0,0
2013-10-25,600519.SH,143.01,143.01,135.6,136.73,58584.15,807380.213,-0.0497892017651651,-0.0574835203099715,10,4,4,0,0
2013-10-28,600519.SH,135.78,136.77,133.26,133.97,32141.02,431472.151,-0.02039228403209581,-0.020757207584661153,10,4,0,1,0
2013-10-29,600519.SH,134.15,134.66,131.5,132.8,35182.94,468246.86,-0.008771657246560594,-0.012268164305290874,10,4,1,0,0
2013-10-30,600519.SH,132.98,133.3,131.96,132.59,25343.46,335579.62,-0.0015825769157062908,-0.01695250823229788,10,4,2,0,0
2013-10-31,600519.SH,132.65,136.51,132.5,135.11,34893.43,471033.933,0.018827601345240197,-0.013581011651782937,10,4,3,0,0
2013-11-01,600519.SH,134.33,135.84,133.8,135.18,22154.47,299057.62,0.0005179622003401718,0.0005872886934872312,11,4,4,0,0
2013-11-04,600519.SH,135.45,136.97,135.27,136.34,19436.28,264834.002,0.008544542262431065,0.00889124683893705,11,4,0,1,0
2013-11-05,600519.SH,135.8,138.39,134.7,138.11,27843.07,381603.609,0.012898703155197921,0.021325817135048553,11,4,1,0,0
2013-11-06,600519.SH,138.28,141.01,137.5,139.65,44449.25,619496.988,0.01108882330134886,-0.003560655887539177,11,4,2,0,0
2013-11-07,600519.SH,139.36,139.88,136.7,138.97,21358.88,294635.357,-0.0048812098926953595,0.006695641180469281,11,4,3,0,0
2013-11-08,600519.SH,138.6,139.99,136.01,136.14,21537.43,298492.269,-0.02057431447868563,-0.022455127265372354,11,4,4,0,0
2013-11-11,600519.SH,138.0,141.68,136.18,139.55,52328.77,729491.561,0.024739191962526164,0.024600013117486164,11,4,0,1,0
2013-11-12,600519.SH,139.42,145.35,139.05,144.84,69478.01,997440.468,0.03720672491510957,0.08699592668027467,11,4,1,0,0
2013-11-13,600519.SH,144.09,146.45,143.1,144.72,31881.46,460888.127,-0.0008288438104004925,0.019563440221695316,11,4,2,0,0
