p,d,q,P,D,Q,rmse,mae,mape
1,0,2,0,1,0,87.1653404661342,71.20695469466104,0.03949945920447438
1,0,2,0,1,1,72.93935691668095,59.76953232952507,0.03358948199144764
1,0,2,1,0,0,103.38640288148054,85.61624538657944,0.04736589442887075
1,0,2,1,0,1,108.69398095394375,90.88940601667792,0.05034391026827249
1,0,2,1,1,0,72.71394544489847,59.75437518909696,0.03424726462850025
1,0,2,1,1,1,78.65237660394203,64.48117251643578,0.0358471630918575
1,1,0,0,0,0,78.00251231170807,63.81454076103683,0.03546954072840741
1,1,0,0,0,1,81.09897921180739,66.23711523586448,0.03675688269075361
1,1,0,0,1,0,547.0834646848688,488.05536817179126,0.276598972880602
1,1,0,0,1,1,94.19219327052231,76.25811183982628,0.04374039941760588
1,1,0,1,0,0,80.13538607617427,65.44338881528813,0.03633154372068301
1,1,0,1,0,1,81.1757452053711,66.2996823554863,0.03679043288101322
1,1,0,1,1,0,607.671544302976,521.1840480722474,0.2981987331412318
1,1,0,1,1,1,93.97005765595638,76.03255171126051,0.04356468748942648
1,1,1,0,0,0,77.75221778591734,63.636013088888475,0.03537586656000648
1,1,1,0,0,1,80.42274876490818,65.67276584459817,0.03645432191059133
1,1,1,0,1,0,558.5017758858502,498.12133416270206,0.28233408049205855
1,1,1,0,1,1,94.77867181274279,76.7332052400814,0.04402228983054379
1,1,1,1,0,0,79.69872044511412,65.08989292781648,0.03614297345300034
1,1,1,1,0,1,81.17771499632396,66.30131656047527,0.03679130938605575
1,1,1,1,1,0,605.3045276603664,519.1294638032839,0.2970268335732819
1,1,1,1,1,1,93.9100534941747,75.98253058035999,0.04353510886047223
1,1,2,0,0,0,77.64189048892133,63.55846847658918,0.03533528271817737
1,1,2,0,0,1,80.38427820644658,65.641577851258,0.03643763855341909
1,1,2,0,1,0,551.9848927430124,492.38288516474165,0.27906440618619033
1,1,2,0,1,1,95.00835936889438,76.91935644225701,0.04413421614772122
1,1,2,1,0,0,79.63489507122452,65.03962663213433,0.036116201747927755
1,1,2,1,0,1,80.51424503889024,65.74749642712432,0.03649435122871802
1,1,2,1,1,0,609.5298360180259,522.7845161775426,0.29911187600435657
1,1,2,1,1,1,94.39019057177127,76.39725090899499,0.043786764761060894
2,0,0,0,0,0,97.37599874996329,79.4817538322258,0.04393491438949062
2,0,0,0,0,1,101.79392731281435,83.99335850140798,0.04645006382037331
2,0,0,0,1,0,87.83527732398029,71.82713667776973,0.039837874524927895
2,0,0,0,1,1,73.07777011895479,59.72684090190331,0.033617309889189075
2,0,0,1,0,0,100.94366403737475,83.09383716316391,0.04594908420490627
2,0,0,1,0,1,107.343672366282,89.51633860484098,0.0495701670165808
2,0,0,1,1,0,76.83837990563583,62.73575946150995,0.036080198213014655
2,0,0,1,1,1,74.17417131087218,60.798259288337405,0.0341017740328112
2,0,1,0,0,0,107.84710819191373,90.00294932546467,0.049845448849788705
2,0,1,0,0,1,118.03515948049197,100.60787915815287,0.05582606247974711
2,0,1,0,1,0,95.77529678282889,78.23854735353983,0.043324687353074126
2,0,1,0,1,1,73.13094889675986,59.69240674753305,0.03362551386417231
2,0,1,1,0,0,158.01869638133869,140.85786990362328,0.0787136043579274
2,0,1,1,0,1,108.78022729830514,90.94203752490363,0.05037475207915988
2,0,1,1,1,0,75.34063742567733,62.23173521708892,0.03470577510692817
2,0,1,1,1,1,74.2007288540227,60.4957558835243,0.034051390847270456
2,0,2,0,0,0,109.84824095656673,92.00572531074191,0.05097519245440555
2,0,2,0,0,1,121.14046395273607,103.79796569114201,0.05763479500247495
2,0,2,0,1,0,95.03014210974288,77.57635008959845,0.04296245181872013
2,0,2,0,1,1,73.05648707051883,59.638398711229655,0.033596508294892705
2,0,2,1,0,0,162.36410607900842,145.15979721376186,0.08116001469987208
2,0,2,1,0,1,84.11808863291245,68.37272827974859,0.037859144001876725
2,0,2,1,1,0,73.47249762877685,60.71061636812596,0.033922755947096275
2,0,2,1,1,1,74.02920195203517,60.77459257929521,0.03406560172073898
2,1,0,0,0,0,78.10699683984119,63.89015457049399,0.03550929067743724
2,1,0,0,0,1,81.19023207418805,66.31325468274432,0.03679776625689764
2,1,0,0,1,0,553.5607328308836,493.7696951440797,0.27985463825589163
2,1,0,0,1,1,93.71216860900222,75.866768139303,0.043510778355307575
2,1,0,1,0,0,80.26928858825482,65.55542018941611,0.03639158714409995
2,1,0,1,0,1,81.0665823481297,66.21235302251144,0.03674365938128202
2,1,0,1,1,0,605.1458043984128,518.979468583402,0.2969415338587804
2,1,0,1,1,1,93.91388178048719,75.98535076142427,0.04353549921480688
2,1,1,0,0,0,77.64267111855993,63.558959759001695,0.03533553561431992
2,1,1,0,0,1,80.39027355141116,65.64652932873305,0.03644028973539404
2,1,1,0,1,0,554.1128121814614,494.25626261487434,0.280131865230723
2,1,1,0,1,1,96.51148545351779,78.16568573442918,0.04485840533496879
2,1,1,1,0,0,79.64061369958478,65.04418288176362,0.036118629857737
2,1,1,1,0,1,80.51632521941717,65.749246158873,0.036495288310761015
2,1,1,1,1,0,609.4822939931083,522.7434856554274,0.29908846895596364
2,1,1,1,1,1,94.32413560566468,76.34227111139683,0.043754092078508985
2,1,2,0,0,0,80.70551712305395,65.93336407733952,0.036596342018416474
2,1,2,0,0,1,82.91257410257361,67.74542575005356,0.03756792388292215
2,1,2,0,1,0,503.6796932350748,449.70739308653657,0.25475329525330404
2,1,2,0,1,1,95.63781639824197,77.46501873072256,0.044435996158466086
2,1,2,1,0,0,82.30511803867977,67.25256193653935,0.037303109622210895
2,1,2,1,0,1,84.19099984577784,68.77701841548732,0.038123222426944936
2,1,2,1,1,0,609.514889053549,522.7715043781005,0.2991044550498828
2,1,2,1,1,1,94.25896128256039,76.28887558440205,0.04372273129481906
